,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,ApplicantIncome_log,LoanAmount_log,Loan_Amount_Term_log
42,LP001123,Male,Yes,0,Graduate,No,2400.0,0.0,75.0,360.0,0.8527369903100201,Urban,Y,7.783640596221253,4.330733340286331,5.8888779583328805
43,LP001131,Male,Yes,0,Graduate,No,3941.0,2336.0,134.0,360.0,1.0,Semiurban,Y,8.279443487712665,4.90527477843843,5.8888779583328805
44,LP001136,Male,Yes,0,Not Graduate,Yes,4695.0,0.0,96.0,337.4760499094914,1.0,Urban,Y,8.454466361507933,4.574710978503383,5.7868828682672895
45,LP001137,Female,No,0,Graduate,No,3410.0,0.0,88.0,344.55684733172325,1.0,Urban,Y,8.134760782418645,4.48863636973214,5.818187488530951
46,LP001138,Male,Yes,1,Graduate,No,5649.0,0.0,44.0,360.0,1.0,Urban,Y,8.639410824140487,3.8066624897703196,5.8888779583328805
47,LP001144,Male,Yes,0,Graduate,No,5821.0,0.0,144.0,360.0,1.0,Urban,Y,8.669399124305569,4.976733742420574,5.8888779583328805
48,LP001146,Female,Yes,0,Graduate,No,2645.0,3440.0,120.0,360.0,0.0,Urban,N,7.880804344674901,4.795790545596741,5.8888779583328805
49,LP001151,Female,No,0,Graduate,No,4000.0,2275.0,144.0,360.0,1.0,Semiurban,Y,8.294299608857235,4.976733742420574,5.8888779583328805
50,LP001155,Female,Yes,0,Not Graduate,No,1928.0,1644.0,100.0,360.0,1.0,Semiurban,Y,7.564757012905729,4.61512051684126,5.8888779583328805
51,LP001157,Female,No,0,Graduate,No,3086.0,0.0,120.0,360.0,1.0,Semiurban,Y,8.034955024502159,4.795790545596741,5.8888779583328805
52,LP001164,Female,No,0,Graduate,No,4230.0,0.0,112.0,360.0,1.0,Semiurban,N,8.350193650720067,4.727387818712341,5.8888779583328805
53,LP001179,Male,Yes,2,Graduate,No,4616.0,0.0,134.0,360.0,1.0,Urban,N,8.43750042250699,4.90527477843843,5.8888779583328805
54,LP001186,Female,Yes,1,Graduate,Yes,11500.0,0.0,286.0,360.0,0.0,Urban,N,9.350189267092581,5.659482215759621,5.8888779583328805
55,LP001194,Male,Yes,2,Graduate,No,2708.0,1167.0,97.0,360.0,1.0,Semiurban,Y,7.904334842085095,4.584967478670572,5.8888779583328805
56,LP001195,Male,Yes,0,Graduate,No,2132.0,1591.0,96.0,360.0,1.0,Semiurban,Y,7.665284718471351,4.574710978503383,5.8888779583328805
57,LP001197,Male,Yes,0,Graduate,No,3366.0,2200.0,135.0,360.0,1.0,Rural,N,8.121777419161074,4.912654885736052,5.8888779583328805
58,LP001198,Male,Yes,1,Graduate,No,8080.0,2250.0,180.0,360.0,1.0,Urban,Y,8.997270906233448,5.198497031265826,5.8888779583328805
59,LP001199,Male,Yes,2,Not Graduate,No,3357.0,2859.0,144.0,360.0,1.0,Urban,Y,8.119100837637486,4.976733742420574,5.8888779583328805
60,LP001205,Male,Yes,0,Graduate,No,2500.0,3796.0,120.0,360.0,1.0,Urban,Y,7.824445930877619,4.795790545596741,5.8888779583328805
61,LP001206,Male,Yes,3,Graduate,No,3029.0,0.0,99.0,360.0,1.0,Urban,Y,8.016317898503415,4.605170185988092,5.8888779583328805
62,LP001207,Male,Yes,0,Not Graduate,Yes,2609.0,3449.0,165.0,180.0,0.0,Rural,N,7.867105500316739,5.111987788356544,5.198497031265826
63,LP001213,Male,Yes,1,Graduate,No,4945.0,0.0,137.01112508785843,360.0,0.0,Rural,N,8.506334448081361,4.864297285665312,5.8888779583328805
64,LP001222,Female,No,0,Graduate,No,4166.0,0.0,116.0,360.0,0.0,Semiurban,N,8.334951631422454,4.762173934797756,5.8888779583328805
65,LP001225,Male,Yes,0,Graduate,No,5726.0,4595.0,258.0,360.0,1.0,Semiurban,N,8.652947112393857,5.556828061699537,5.8888779583328805
66,LP001228,Male,No,0,Not Graduate,No,3200.0,2254.0,126.0,180.0,0.0,Urban,N,8.071218539969863,4.844187086458591,5.198497031265826
67,LP001233,Male,Yes,1,Graduate,No,10750.0,0.0,312.0,360.0,1.0,Urban,Y,9.282754052485227,5.746203190540153,5.8888779583328805
68,LP001238,Male,Yes,3,Not Graduate,Yes,7100.0,0.0,125.0,60.0,1.0,Urban,Y,8.867990898182093,4.836281906951478,4.110873864173311
69,LP001241,Female,No,0,Graduate,No,4300.0,0.0,136.0,360.0,0.0,Semiurban,N,8.366602832783736,4.919980925828125,5.8888779583328805
70,LP001243,Male,Yes,0,Graduate,No,3208.0,3066.0,172.0,360.0,1.0,Urban,Y,8.073714641109857,5.153291594497779,5.8888779583328805
71,LP001245,Male,Yes,2,Not Graduate,Yes,1875.0,1875.0,97.0,360.0,1.0,Semiurban,Y,7.53689712956617,4.584967478670572,5.8888779583328805
72,LP001248,Male,No,0,Graduate,No,3500.0,0.0,81.0,300.0,1.0,Semiurban,Y,8.160803920954665,4.406719247264253,5.707110264748875
73,LP001250,Male,Yes,3,Not Graduate,No,4755.0,0.0,95.0,336.59818153349624,0.0,Semiurban,N,8.467162257810672,4.564348191467836,5.785615921407881
74,LP001253,Male,Yes,3,Graduate,Yes,5266.0,1774.0,187.0,360.0,1.0,Semiurban,Y,8.569216219483389,5.236441962829949,5.8888779583328805
75,LP001255,Male,No,0,Graduate,No,3750.0,0.0,113.0,480.0,1.0,Urban,N,8.229777750081887,4.736198448394496,6.175867270105761
76,LP001256,Male,No,0,Graduate,No,3750.0,4750.0,176.0,360.0,1.0,Urban,N,8.229777750081887,5.176149732573829,5.8888779583328805
77,LP001259,Male,Yes,1,Graduate,Yes,1000.0,3022.0,110.0,360.0,1.0,Urban,N,6.90875477931522,4.709530201312334,5.8888779583328805
78,LP001263,Male,Yes,3,Graduate,No,3167.0,4000.0,180.0,300.0,0.0,Semiurban,N,8.060855752934316,5.198497031265826,5.707110264748875
79,LP001264,Male,Yes,3,Not Graduate,Yes,3333.0,2166.0,130.0,360.0,0.755641814263884,Semiurban,Y,8.111928063310739,4.875197323201151,5.8888779583328805
80,LP001265,Female,No,0,Graduate,No,3846.0,0.0,111.0,360.0,1.0,Semiurban,Y,8.255048902752295,4.718498871295094,5.8888779583328805
81,LP001266,Male,Yes,1,Graduate,Yes,2395.0,0.0,133.5829250603,360.0,1.0,Semiurban,Y,7.78155595923534,4.829205894464783,5.8888779583328805
82,LP001267,Female,Yes,2,Graduate,No,1378.0,1881.0,167.0,360.0,1.0,Urban,N,7.229113877793302,5.123963979403259,5.8888779583328805
83,LP001273,Male,Yes,0,Graduate,No,6000.0,2250.0,265.0,360.0,0.7734102048010948,Semiurban,N,8.699681400989514,5.583496308781699,5.8888779583328805
84,LP001275,Male,Yes,1,Graduate,No,3988.0,0.0,50.0,240.0,1.0,Urban,Y,8.291295851905407,3.9318256327243257,5.484796933490655
85,LP001279,Male,No,0,Graduate,No,2366.0,2531.0,136.0,360.0,1.0,Semiurban,Y,7.769378609513984,4.919980925828125,5.8888779583328805
86,LP001280,Male,Yes,2,Not Graduate,No,3333.0,2000.0,99.0,360.0,0.7865647024044657,Semiurban,Y,8.111928063310739,4.605170185988092,5.8888779583328805
87,LP001282,Male,Yes,0,Graduate,No,2500.0,2118.0,104.0,360.0,1.0,Semiurban,Y,7.824445930877619,4.653960350157523,5.8888779583328805
88,LP001289,Male,No,0,Graduate,No,8566.0,0.0,210.0,360.0,1.0,Urban,Y,9.055672891964043,5.351858133476067,5.8888779583328805
89,LP001310,Male,Yes,0,Graduate,No,5695.0,4167.0,175.0,360.0,1.0,Semiurban,Y,8.647519453091812,5.170483995038151,5.8888779583328805
90,LP001316,Male,Yes,0,Graduate,No,2958.0,2900.0,131.0,360.0,1.0,Semiurban,Y,7.99260665240021,4.882801922586371,5.8888779583328805
91,LP001318,Male,Yes,2,Graduate,No,6250.0,5654.0,188.0,180.0,1.0,Semiurban,Y,8.740496729931813,5.241747015059643,5.198497031265826
92,LP001319,Male,Yes,2,Not Graduate,No,3273.0,1820.0,81.0,360.0,1.0,Urban,Y,8.09376775793108,4.406719247264253,5.8888779583328805
93,LP001322,Male,No,0,Graduate,No,4133.0,0.0,122.0,360.0,1.0,Semiurban,Y,8.327000740241713,4.812184355372417,5.8888779583328805
94,LP001325,Male,No,0,Not Graduate,No,3620.0,0.0,25.0,120.0,1.0,Semiurban,Y,8.19450550976564,3.258096538021482,4.795790545596741
95,LP001326,Male,No,0,Graduate,No,6782.0,0.0,149.41435347432582,360.0,0.7739376315873091,Urban,N,8.82217476094608,4.864108409590255,5.8888779583328805
96,LP001327,Female,Yes,0,Graduate,No,2484.0,2302.0,137.0,360.0,1.0,Semiurban,Y,7.818027938530729,4.927253685157205,5.8888779583328805
97,LP001333,Male,Yes,0,Graduate,No,1977.0,997.0,50.0,360.0,1.0,Semiurban,Y,7.589841512182657,3.9318256327243257,5.8888779583328805
98,LP001334,Male,Yes,0,Not Graduate,No,4188.0,0.0,115.0,180.0,1.0,Semiurban,Y,8.340217320947035,4.7535901911063645,5.198497031265826
99,LP001343,Male,Yes,0,Graduate,No,1759.0,3541.0,131.0,360.0,1.0,Semiurban,Y,7.473069088032197,4.882801922586371,5.8888779583328805
100,LP001345,Male,Yes,2,Not Graduate,No,4288.0,3263.0,133.0,180.0,1.0,Urban,Y,8.36380888451688,4.897839799950911,5.198497031265826
101,LP001349,Male,No,0,Graduate,No,4843.0,3806.0,151.0,360.0,1.0,Semiurban,Y,8.485496104672983,5.0238805208462765,5.8888779583328805
102,LP001350,Male,Yes,0,Graduate,No,13650.0,0.0,165.8526310983973,360.0,1.0,Urban,Y,9.521568058002977,4.929468342056298,5.8888779583328805
103,LP001356,Male,Yes,0,Graduate,No,4652.0,3583.0,142.80637651969744,360.0,1.0,Semiurban,Y,8.445267451844648,4.890486022166131,5.8888779583328805
104,LP001357,Male,Yes,0,Graduate,No,3816.0,754.0,160.0,360.0,1.0,Urban,Y,8.247220052745229,5.081404364984463,5.8888779583328805
105,LP001367,Male,Yes,1,Graduate,No,3052.0,1030.0,100.0,360.0,1.0,Urban,Y,8.023879992734878,4.61512051684126,5.8888779583328805
106,LP001369,Male,Yes,2,Graduate,No,11417.0,1126.0,225.0,360.0,1.0,Urban,Y,9.342946336524205,5.420534999272286,5.8888779583328805
107,LP001370,Male,No,0,Not Graduate,No,7333.0,0.0,120.0,360.0,1.0,Rural,N,8.900276348631271,4.795790545596741,5.8888779583328805
108,LP001379,Male,Yes,2,Graduate,No,3800.0,3600.0,216.0,360.0,0.0,Urban,N,8.24301946898925,5.37989735354046,5.8888779583328805
109,LP001384,Male,Yes,3,Not Graduate,No,2071.0,754.0,94.0,480.0,1.0,Semiurban,Y,7.6362696033793735,4.553876891600541,6.175867270105761
110,LP001385,Male,No,0,Graduate,No,5316.0,0.0,136.0,360.0,1.0,Urban,Y,8.57866451350434,4.919980925828125,5.8888779583328805
111,LP001387,Female,Yes,0,Graduate,No,2929.0,2333.0,139.0,360.0,1.0,Semiurban,Y,7.982757702011113,4.941642422609304,5.8888779583328805
112,LP001391,Male,Yes,0,Not Graduate,No,3572.0,4114.0,152.0,342.71935465024035,0.0,Rural,N,8.181160858023409,5.030437921392435,5.81381173379708
113,LP001392,Female,No,1,Graduate,Yes,7451.0,0.0,151.36048537315173,360.0,1.0,Semiurban,Y,8.916237731721479,4.8769460250475225,5.8888779583328805
114,LP001398,Male,No,0,Graduate,No,5050.0,0.0,118.0,360.0,1.0,Semiurban,Y,8.527341522468053,4.77912349311153,5.8888779583328805
115,LP001401,Male,Yes,1,Graduate,No,14583.0,0.0,185.0,180.0,1.0,Rural,Y,9.5876803163585,5.225746673713202,5.198497031265826
116,LP001404,Female,Yes,0,Graduate,No,3167.0,2283.0,154.0,360.0,1.0,Semiurban,Y,8.060855752934316,5.043425116919247,5.8888779583328805
117,LP001405,Male,Yes,1,Graduate,No,2214.0,1398.0,85.0,360.0,0.8223689593203913,Urban,Y,7.703007682479236,4.454347296253507,5.8888779583328805
118,LP001421,Male,Yes,0,Graduate,No,5568.0,2142.0,175.0,360.0,1.0,Rural,N,8.624970783589669,5.170483995038151,5.8888779583328805
119,LP001422,Female,No,0,Graduate,No,10408.0,0.0,259.0,360.0,1.0,Urban,Y,9.250426095515468,5.560681631015528,5.8888779583328805
120,LP001426,Male,Yes,0,Graduate,No,5667.0,2667.0,180.0,360.0,1.0,Rural,Y,8.64259160081057,5.198497031265826,5.8888779583328805
121,LP001430,Female,No,0,Graduate,No,4166.0,0.0,44.0,360.0,1.0,Semiurban,Y,8.334951631422454,3.8066624897703196,5.8888779583328805
122,LP001431,Female,No,0,Graduate,No,2137.0,8980.0,137.0,360.0,0.0,Semiurban,Y,7.6676260915849905,4.927253685157205,5.8888779583328805
123,LP001432,Male,Yes,2,Graduate,No,2957.0,0.0,81.0,360.0,1.0,Semiurban,Y,7.992268643270745,4.406719247264253,5.8888779583328805
124,LP001439,Male,Yes,0,Not Graduate,No,4300.0,2014.0,194.0,360.0,1.0,Rural,Y,8.366602832783736,5.272999558563747,5.8888779583328805
125,LP001443,Female,No,0,Graduate,No,3692.0,0.0,93.0,360.0,0.8309095522749981,Rural,Y,8.214194414852564,4.543294782270004,5.8888779583328805
126,LP001448,Male,Yes,3,Graduate,No,23803.0,0.0,370.0,360.0,1.0,Rural,Y,10.077608912764743,5.916202062607435,5.8888779583328805
127,LP001449,Male,No,0,Graduate,No,3865.0,1640.0,136.93323464673847,360.0,1.0,Rural,Y,8.259975659768276,4.848012204117268,5.8888779583328805
128,LP001451,Male,Yes,1,Graduate,Yes,10513.0,3850.0,160.0,180.0,0.0,Urban,N,9.260462981379394,5.081404364984463,5.198497031265826
129,LP001465,Male,Yes,0,Graduate,No,6080.0,2569.0,182.0,360.0,0.7755618726331239,Rural,N,8.71292443512011,5.209486152841421,5.8888779583328805
130,LP001469,Male,No,0,Graduate,Yes,20166.0,0.0,650.0,480.0,0.8529012040967937,Urban,Y,9.911802884139842,6.478509642208569,6.175867270105761
131,LP001473,Male,No,0,Graduate,No,2014.0,1929.0,74.0,360.0,1.0,Urban,Y,7.608374474380783,4.31748811353631,5.8888779583328805
132,LP001478,Male,No,0,Graduate,No,2718.0,0.0,70.0,360.0,1.0,Semiurban,Y,7.908019444632471,4.2626798770413155,5.8888779583328805
133,LP001482,Male,Yes,0,Graduate,Yes,3459.0,0.0,25.0,120.0,1.0,Semiurban,Y,8.14902386805177,3.258096538021482,4.795790545596741
134,LP001487,Male,No,0,Graduate,No,4895.0,0.0,102.0,360.0,1.0,Semiurban,Y,8.496173824192162,4.634728988229636,5.8888779583328805
135,LP001488,Male,Yes,3,Graduate,No,4000.0,7750.0,290.0,360.0,1.0,Semiurban,N,8.294299608857235,5.673323267171493,5.8888779583328805
136,LP001489,Female,Yes,0,Graduate,No,4583.0,0.0,84.0,360.0,1.0,Rural,N,8.430327258394575,4.442651256490317,5.8888779583328805
137,LP001491,Male,Yes,2,Graduate,Yes,3316.0,3500.0,88.0,360.0,1.0,Urban,Y,8.106816038947052,4.48863636973214,5.8888779583328805
138,LP001492,Male,No,0,Graduate,No,14999.0,0.0,242.0,360.0,0.0,Semiurban,N,9.615805480084347,5.493061443340548,5.8888779583328805
139,LP001493,Male,Yes,2,Not Graduate,No,4200.0,1430.0,129.0,360.0,1.0,Rural,N,8.343077871169383,4.867534450455582,5.8888779583328805
140,LP001497,Male,Yes,2,Graduate,No,5042.0,2083.0,185.0,360.0,1.0,Rural,N,8.525756422076725,5.225746673713202,5.8888779583328805
141,LP001498,Male,No,0,Graduate,No,5417.0,0.0,168.0,360.0,1.0,Urban,Y,8.59748202264504,5.1298987149230735,5.8888779583328805
142,LP001504,Male,No,0,Graduate,Yes,6950.0,0.0,175.0,180.0,1.0,Semiurban,Y,8.846640813100485,5.170483995038151,5.198497031265826
143,LP001507,Male,Yes,0,Graduate,No,2698.0,2034.0,122.0,360.0,1.0,Semiurban,Y,7.900636613018005,4.812184355372417,5.8888779583328805
144,LP001508,Male,Yes,2,Graduate,No,11757.0,0.0,187.0,180.0,1.0,Urban,Y,9.3722891389622,5.236441962829949,5.198497031265826
145,LP001514,Female,Yes,0,Graduate,No,2330.0,4486.0,100.0,360.0,1.0,Semiurban,Y,7.754052639035757,4.61512051684126,5.8888779583328805
146,LP001516,Female,Yes,2,Graduate,No,14866.0,0.0,70.0,360.0,1.0,Urban,Y,9.60689927061335,4.2626798770413155,5.8888779583328805
147,LP001518,Male,Yes,1,Graduate,No,1538.0,1425.0,30.0,360.0,1.0,Urban,Y,7.338888133838879,3.4339872044851463,5.8888779583328805
148,LP001519,Female,No,0,Graduate,No,10000.0,1666.0,225.0,360.0,1.0,Rural,N,9.210440366976517,5.420534999272286,5.8888779583328805
149,LP001520,Male,Yes,0,Graduate,No,4860.0,830.0,125.0,360.0,1.0,Semiurban,Y,8.488999457045455,4.836281906951478,5.8888779583328805
150,LP001528,Male,No,0,Graduate,No,6277.0,0.0,118.0,360.0,0.0,Rural,N,8.744806737401898,4.77912349311153,5.8888779583328805
151,LP001529,Male,Yes,0,Graduate,Yes,2577.0,3750.0,152.0,360.0,1.0,Rural,Y,7.8547691834991324,5.030437921392435,5.8888779583328805
152,LP001531,Male,No,0,Graduate,No,9166.0,0.0,244.0,360.0,1.0,Urban,N,9.123365357961776,5.501258210544727,5.8888779583328805
153,LP001532,Male,Yes,2,Not Graduate,No,2281.0,0.0,113.0,360.0,1.0,Rural,N,7.732807530422021,4.736198448394496,5.8888779583328805
154,LP001535,Male,No,0,Graduate,No,3254.0,0.0,50.0,360.0,1.0,Urban,Y,8.08794755464267,3.9318256327243257,5.8888779583328805
155,LP001536,Male,Yes,3,Graduate,No,39999.0,0.0,600.0,180.0,0.0,Semiurban,Y,10.596634733096073,6.398594934535208,5.198497031265826
156,LP001541,Male,Yes,1,Graduate,No,6000.0,0.0,160.0,360.0,0.8391350347449609,Rural,Y,8.699681400989514,5.081404364984463,5.8888779583328805
157,LP001543,Male,Yes,1,Graduate,No,9538.0,0.0,187.0,360.0,1.0,Urban,Y,9.163143937145207,5.236441962829949,5.8888779583328805
158,LP001546,Male,No,0,Graduate,No,2980.0,2083.0,120.0,360.0,1.0,Rural,Y,8.000014093678072,4.795790545596741,5.8888779583328805
159,LP001552,Male,Yes,0,Graduate,No,4583.0,5625.0,255.0,360.0,1.0,Semiurban,Y,8.430327258394575,5.545177444479562,5.8888779583328805
160,LP001560,Male,Yes,0,Not Graduate,No,1863.0,1041.0,98.0,360.0,1.0,Semiurban,Y,7.530479995245536,4.59511985013459,5.8888779583328805
161,LP001562,Male,Yes,0,Graduate,No,7933.0,0.0,275.0,360.0,1.0,Urban,N,8.978912601074276,5.62040086571715,5.8888779583328805
162,LP001565,Male,Yes,1,Graduate,No,3089.0,1280.0,121.0,360.0,0.0,Semiurban,N,8.035926369891792,4.804021044733257,5.8888779583328805
163,LP001570,Male,Yes,2,Graduate,No,4167.0,1447.0,158.0,360.0,1.0,Rural,Y,8.335191583433202,5.0689042022202315,5.8888779583328805
164,LP001572,Male,Yes,0,Graduate,No,9323.0,0.0,75.0,180.0,1.0,Urban,Y,9.140347000155648,4.330733340286331,5.198497031265826
165,LP001574,Male,Yes,0,Graduate,No,3707.0,3166.0,182.0,343.8429077445878,1.0,Rural,Y,8.218247926685745,5.209486152841421,5.812609663716337
166,LP001577,Female,Yes,0,Graduate,No,4583.0,0.0,112.0,360.0,1.0,Rural,N,8.430327258394575,4.727387818712341,5.8888779583328805
167,LP001578,Male,Yes,0,Graduate,No,2439.0,3333.0,129.0,360.0,1.0,Rural,Y,7.799753318287247,4.867534450455582,5.8888779583328805
168,LP001579,Male,No,0,Graduate,No,2237.0,0.0,63.0,480.0,0.0,Semiurban,N,7.71333788887187,4.1588830833596715,6.175867270105761
169,LP001580,Male,Yes,2,Graduate,No,8000.0,0.0,200.0,360.0,1.0,Semiurban,Y,8.987321812850125,5.303304908059076,5.8888779583328805
170,LP001581,Male,Yes,0,Not Graduate,No,1820.0,1769.0,95.0,360.0,1.0,Rural,Y,7.507141079727608,4.564348191467836,5.8888779583328805
171,LP001585,Male,Yes,3,Graduate,No,51763.0,0.0,700.0,300.0,1.0,Urban,Y,10.85445020594156,6.55250788703459,5.707110264748875
172,LP001586,Male,Yes,3,Not Graduate,No,3522.0,0.0,81.0,180.0,1.0,Rural,N,8.167068178341237,4.406719247264253,5.198497031265826
173,LP001594,Male,Yes,0,Graduate,No,5708.0,5625.0,187.0,360.0,1.0,Semiurban,Y,8.64979915596426,5.236441962829949,5.8888779583328805
174,LP001603,Male,Yes,0,Not Graduate,Yes,4344.0,736.0,87.0,360.0,1.0,Semiurban,N,8.376781037699493,4.477336814478207,5.8888779583328805
175,LP001606,Male,Yes,0,Graduate,No,3497.0,1964.0,116.0,360.0,1.0,Rural,Y,8.159946655578548,4.762173934797756,5.8888779583328805
176,LP001608,Male,Yes,2,Graduate,No,2045.0,1619.0,101.0,360.0,1.0,Rural,Y,7.6236419465115715,4.624972813284271,5.8888779583328805
